id_cachet,id_acteur,id_role,id_mois,montant
s1351,1,3,2,1308
s6909,1,3,12,1174
s4842,1,3,7,1337
s2073,1,3,10,1189
s2296,1,4,4,862
s4034,1,4,7,947
s605,1,5,12,919
s2345,1,5,5,1106
s433,1,3,6,1181
s4179,1,3,7,1285
s4290,1,1,12,1047
s3723,1,4,1,1296
s1883,1,3,8,1173
s6738,1,4,1,888
s4357,1,5,8,1105
s1513,1,3,2,1270
s6355,1,2,10,918
s1983,1,2,10,811
s2469,2,5,6,998
s2204,2,4,9,749
s3409,2,1,12,1036
s5251,2,1,9,1051
s717,2,5,11,787
s7371,2,5,9,1106
s5049,2,2,3,1042
s3069,2,1,1,1060
s3284,2,5,3,933
s7270,2,1,5,1084
s3063,2,1,12,1019
s7541,2,5,8,717
s5750,2,2,2,964
s7894,2,5,12,1269
s3486,2,4,2,813
s6405,2,3,2,1371
s4744,2,5,3,1071
s7854,2,5,1,1136
s5197,2,5,1,807
s7432,3,1,7,1098
s6450,3,5,3,773
s3765,3,4,1,1068
s5373,3,2,4,1128
s2142,3,4,5,753
s3135,3,3,8,1397
s898,3,3,6,1270
s961,3,1,9,1077
s1935,3,5,7,1281
s7412,3,2,4,1082
s3674,3,2,12,931
s5452,3,2,9,995
s3796,3,1,6,1039
s7260,3,1,12,1047
s3114,3,1,4,1009
s4540,4,5,3,1040
s1345,4,1,12,1053
s4134,4,5,10,832
s652,4,5,7,910
s5417,4,3,6,1179
s4832,4,1,2,1039
s5755,4,5,12,1222
s7919,4,1,8,1094
s1374,4,4,9,729
s5083,4,5,6,1054
s907,4,3,1,1271
s7795,4,5,1,834
s971,4,4,5,992
s2176,4,3,3,1125
s597,4,1,6,1041
s5496,4,2,5,854
s7306,4,1,5,1094
s6665,4,3,1,1306
s664,4,1,6,1017
s2324,4,5,9,1094
s2982,4,3,3,1200
s2598,4,4,5,1162
s1909,5,4,9,846
s6755,5,5,10,985
s4138,5,5,6,823
s642,5,5,2,1047
s2147,5,4,11,1299
s4883,5,5,12,865
s4336,5,2,4,981
s7514,5,1,3,1071
s2205,5,5,3,838
s3494,5,5,9,862
s7362,6,1,1,1021
s2665,6,3,2,1249
s5025,6,4,5,1191
s4568,6,3,8,1385
s2576,6,4,9,814
s358,6,2,3,850
s2937,6,4,1,1231
s1212,6,1,11,1045
s5208,6,3,6,1269
s4784,6,1,6,1088
s4936,6,5,4,968
s5011,6,1,9,1039
s1729,6,1,6,1041
s7493,6,3,1,1180
s4868,6,4,11,878
s862,6,3,10,1204
s6953,6,2,4,1073
s2777,6,2,5,1041
s5725,6,1,3,1054
s7639,7,3,7,1335
s3651,7,5,1,947
s1547,7,3,8,1235
s5468,7,5,2,1270
s1982,7,3,4,1234
s5836,7,3,12,1229
s7716,7,5,2,848
s7027,7,2,2,1002
s4118,7,5,3,872
s945,7,5,9,1088
s6115,7,4,12,706
s7492,7,5,1,938
s6673,7,1,10,1019
s1991,7,1,12,1049
s1882,7,4,6,893
s5478,8,2,6,1069
s6246,8,3,9,1170
s6780,8,2,6,1131
s5309,8,4,10,965
s7253,8,5,4,815
s7147,8,3,10,1191
s4121,8,3,12,1288
s4150,8,1,11,1041
s6902,8,3,6,1362
s1469,8,5,7,1088
s5525,8,1,8,1083
s7768,8,4,9,794
s631,8,4,5,1168
s5591,8,4,10,878
s5179,8,4,1,770
s7517,8,5,2,862
s6994,9,4,10,1269
s7867,9,4,7,728
s5511,9,3,1,1135
s7446,9,2,12,1126
s5600,9,1,7,1070
s6334,9,5,9,1011
s5469,9,2,9,968
s29,9,3,11,1230
s3104,9,2,1,863
s6079,9,5,4,734
